species,disease,symptoms,urgency,contagious,source
Turtle,Pneumonia,"open_mouth_breathing, gasping_for_breath, labored_or_increased_respiratory_effort, increased_respiratory_rate, nasal_discharge, bubbles_in_mouth,_nose,_or_eyes, excess_mucus_in_mouth, wheezing_or_clicking_sounds_when_breathing, extension_of_neck_to_breathe, dyspnea, lethargy, loss_of_appetite, tilting_to_one_side_while_swimming, gaping, coughing, pale_or_swollen_gills, conjunctivitis_or_ocular_discharge",medium,no,overhaul_simple
Rabbit,Hutch burn,"inflamed_and_red_skin, fur_loss, wet_or_matted_fur, brownish_crust, bleeding, skin_lesions, itching",medium,no,overhaul_simple
Rabbit,Wet dewlap,"damp_or_matted_fur, skin_irritation, odor, infection",medium,no,overhaul_simple
Bird,Ringworm,bald_patches_or_areas_of_feather_loss.,medium,yes,overhaul_detailed
Fish,Diarrhea,"urgency:_emergency, contagious:_no, disease:_cystitis, species:_cat, status:_[_]_missing, primary_sources_:, 1._source:_petmd, symptoms_extracted:",medium,no,overhaul_simple
Hamster,Constipation,"abdominal_pain, straining_to_defecate, hard,_dry_feces,_often_small_in_volume, worms_in_feces",medium,no,overhaul_simple
Bird,Conjunctivitis,"eye_redness, swelling_of_the_eye_and_head, blinking_and_squinting, cloudy_eyes, glassy_eyes, rapid_head_movements, scratching_at_the_eye, rubbing_the_eye, not_eating, lethargy",medium,no,overhaul_simple
Hamster,Protrusion of the eyeball,"visible_bulging_or_protrusion, discharge_or_tears, redness_and_swelling, crusting, squinting_or_sealed_eyes, cloudiness_or_discoloration, behavioral_changes, reduced_appetite_or_weight_loss",medium,no,overhaul_simple
Turtle,Pneumonia,"open_mouth_breathing, gasping_for_breath, labored_or_increased_respiratory_effort, increased_respiratory_rate, nasal_discharge, bubbles_in_mouth,_nose,_or_eyes, excess_mucus_in_mouth, wheezing_or_clicking_sounds_when_breathing, extension_of_neck_to_breathe, dyspnea, lethargy, loss_of_appetite, tilting_to_one_side_while_swimming, gaping, coughing, pale_or_swollen_gills, conjunctivitis_or_ocular_discharge",medium,no,overhaul_simple
Hamster,Milk gland infection,"enlarged_mammary_gland, mammary_gland_are_warm,_firm_to_touch, hamster_exhibits_pain_when_the_gland_is_touched",medium,no,overhaul_simple
Hamster,Skin abscesses,"lumps, swelling, discharge, pain, lethargy",medium,no,overhaul_simple
Hamster,Hair loss / alopecia,"thinning_hair, patches_of_hair_loss, patches_of_short_hair, scabbing, dandruff, lethargy",medium,no,overhaul_simple
Bird,Ringworm,bald_patches_or_areas_of_feather_loss.,medium,no,overhaul_simple
Bird,Skin and fur mites,"scaling_or_dandruff, scabbing, lesions_along_the_back,_hindlimbs,_or_belly, hair_loss_and_scratching_around_the_ears, head_shaking, ✅_10_retained.",medium,no,overhaul_simple
Bird,Avian Gastric Yeast,"continuous_loss_of_weight, regurgitation_of_food, excessive_food_intake_followed_by_loss_of_appetite, undigested_seeds_or_pellets_in_the_droppings",medium,no,overhaul_simple
Bird,Candidiasis,"lethargy, lack_of_appetite, ruffled_feathers, slow_growth_or_development_in_young_birds, difficulty_swallowing, thickened_crop",medium,no,overhaul_simple
Bird,Pacheco’s Disease,"yellow,_watery_urates, lethargy, depression, not_eating, ruffled_feathers, eye_discharge_or_runny_eyes, nasal_discharge, green_feces, regurgitation, sudden_death",medium,no,overhaul_simple
Bird,Giardiasis,"malnutrition, diarrhea, faulty_absorption_of_nutrients, weight_loss, itching, feather_plucking, excessive_pecking_of_the_skin, increased_vocalization_in_the_infected_bird",medium,no,overhaul_simple
Bird,Trichomoniasis,"mouth_lesions, drooling, pale_yellow, vomiting",medium,no,overhaul_simple
Bird,Roundworms / Tapeworms,roundworms,medium,no,overhaul_simple
Bird,Conjunctivitis,"eye_redness, swelling_of_the_eye_and_head, blinking_and_squinting, cloudy_eyes, glassy_eyes, rapid_head_movements, scratching_at_the_eye, rubbing_the_eye, not_eating, lethargy",medium,no,overhaul_simple
Bird,Cataract,"squinting,_tearing,_or_rubbing_the_eye",medium,no,overhaul_simple
Bird,Fractures,"inability_to_move_a_limb, limping, local_swelling, wing_droop_or_slight_droop, inability_to_fly",medium,no,overhaul_simple
Bird,Gout,"articular_gout, makes_noise_when_walking_due_to_discomfort, can_also_be_dehydrated, greenish_diarrhea",medium,no,overhaul_simple
Bird,Aspergillosis,"acute_aspergillosis, lack_of_appetite, breathing_difficulties, sudden_death_if_untreated, airsacculitis, lungs_and_air_sacs_congested_with_white_mucus, nodules_in_lungs, chronic_aspergillosis, listlessness, depression, weakness, difficulty_breathing, severe,_possibly_permanent_respiratory_damage, spread_of_infection_to_other_organs_and_systems, tremors, loss_of_coordination, paralysis",medium,no,overhaul_simple
Bird,Avian Influenza,"respiratory_symptoms, coughing_or_sneezing, labored_or_open_mouth_breathing, nasal_discharge_or_runny_nose, swelling_around_the_eyes,_head,_or_neck, gurgling_or_wheezing_sounds, digestive_and_physical_changes, loss_of_appetite, diarrhea_or_watery_droppings, sudden_drop_in_egg_production, soft_shelled_or_misshapen_eggs, behavioral_changes, lethargy_or_weakness, reluctance_to_move_or_fly, huddling_or_drooping_posture, unusual_isolation_from_the_group, lack_of_vocalization_in_typically_noisy_species",medium,no,overhaul_simple
Bird,Newcastle Disease,"appetite_loss, weight_loss, sneezing, nasal_discharge, eye_discharge, breathing_problems, diarrhea, loss_of_coordination, spasms, head_bobbing, advanced_stages, jerky,_involuntary_movements, paralysis_of_legs_or_wings, twisting_of_the_neck, unnatural_head_position, dilation_of_pupils",medium,no,overhaul_simple
Bird,Air sac mites / gapeworms,"open_mouth_breathing, bobbing_of_the_tail, excessive_salivation",medium,no,overhaul_simple
Bird,Cloacal prolapse,"exposure_of_intestines,_cloaca,_or_uterus, swelling_or_redness_around_the_vent_area, straining_during_defecation_or_egg_laying, frequent_or_prolonged_attempts_to_pass_droppings, signs_of_discomfort_or_distress_when_eliminating, holding_in_feces_for_long_periods_of_time, crying_or_vocalizing, often_seen_in_hand_raised_or_hand_fed_cockatoos",medium,no,overhaul_simple
Bird,Egg binding,"fluffed_up_feathers, reduced_or_no_vocalizations, straining_or_frequent_attempts_to_lay_an_egg, swollen_or_distended_abdomen, cloacal_prolapse, wide_legged_stance, tail_wagging_or_bobbing, open_mouth_breathing_or_labored_breathing, difficulty_or_refusal_to_perch, weakness_or_lameness, sudden_death_in_untreated_or_prolonged_cases",medium,no,overhaul_simple
Bird,Feather cysts,"lumps_under_skin, feather_abnormalities, swelling, irritation, picking_at_area",medium,no,overhaul_simple
Bird,Bumblefoot,"swelling, lesions_or_sores, lameness_or_difficulty_walking, changes_in_behavior, loss_of_appetite, abnormal_foot_appearance",medium,no,overhaul_simple
Bird,Ringworm,bald_patches_or_areas_of_feather_loss.,medium,no,overhaul_simple
Bird,Scaly face / tassel foot / feather mites,"scaly_face, white_crusts_around_the_corners_of_the_beak, crusting_around_nostrils, crusting_around_eyes, loss_of_feathers_near_affected_areas, beak_deformities_or_crooked_beak, leg_mites, white_crusts_on_legs_and_toes, crooked_or_deformed_legs_and_toes, feather_loss_around_leg_areas, no_itching_observed, feather_mites, restlessness_or_agitation_throughout_the_day, increased_activity_or_discomfort_at_night, pale_appearance_or_signs_of_anemia, weakness_or_lethargy",medium,no,overhaul_simple
Bird,Psittacine Beak and Feather Disease,nails:_brittle_and_malformed,medium,no,overhaul_simple
Turtle,Heavy metal poisoning,"excessive_thirst, regurgitation_of_water_or_food, weakness_or_difficulty_moving, lethargy_or_listlessness, tremors_or_shaking, loss_of_coordination, seizures, pale_or_discolored_beak_and_legs, ✅_21_retained.",medium,no,overhaul_simple
Turtle,Septicemia,"pink_or_red_discoloration_of_the_plastron, pink_flushing_on_skin,_especially_between_scutes, red_or_purple_spots_on_the_ventrum_or_belly, lethargy, decreased_appetite_or_anorexia, respiratory_distress, convulsions, incoordination, red_spots_on_legs_and_skin",medium,no,overhaul_simple
Turtle,Infectious stomatitis,"small_red_spots_in_the_oral_cavity, swollen,_red,_and_inflamed_gums, mucus_or_thick_discharge_in_the_mouth, foul_or_sour_odor_from_the_mouth, decreased_appetite_or_anorexia, open_mouth_breathing, swelling_of_the_jaw, pain_when_eating_or_difficulty_eating",medium,no,overhaul_simple
Turtle,Eye abscesses / conjunctivitis,"swollen_eyelids, eyes_swollen_shut, cloudy_eyes, eye_discharge, redness_of_conjunctiva_and_surrounding_tissues, eye_that_protrudes_or_bulges, pawing_or_rubbing_at_the_eyes, squinting_or_blinking_excessively, blood_in_or_around_the_eye, hard_lump_or_swelling_near_or_behind_the_eye, visible_dents_or_scratches_on_eye_surface, lethargy, inappetence",medium,no,overhaul_simple
Turtle,Ear infections,"bulging_tympanic_membrane, lump_on_the_side_of_the_head, pain_when_mouth_is_opened, head_shaking, sensitivity_around_the_ears, decreased_appetite, lethargy",medium,no,overhaul_simple
Turtle,Abnormal beak growth,"overgrown_beak, misshapen_or_crooked_beak, beak_deformities, difficulty_eating",medium,no,overhaul_simple
Turtle,Stargazing,"head_tilted_upward_toward_the_sky, abnormal_head_positioning, loss_of_coordination, neurological_signs",medium,no,overhaul_simple
Turtle,Pneumonia,"open_mouth_breathing, gasping_for_breath, labored_or_increased_respiratory_effort, increased_respiratory_rate, nasal_discharge, bubbles_in_mouth,_nose,_or_eyes, excess_mucus_in_mouth, wheezing_or_clicking_sounds_when_breathing, extension_of_neck_to_breathe, dyspnea, lethargy, loss_of_appetite, tilting_to_one_side_while_swimming, gaping, coughing, pale_or_swollen_gills, conjunctivitis_or_ocular_discharge",medium,no,overhaul_simple
Turtle,Dystocia,"swollen_or_distended_abdomen, loss_of_appetite, lethargy, straining, wide_legged_stance, restlessness, weight_loss_despite_swollen_appearance",medium,no,overhaul_simple
Turtle,Vent prolapse,"redness_around_vent_area, swelling_around_vent, straining, edema, hemopurulent_discharge",medium,no,overhaul_simple
Turtle,Abscesses,"hard,_firm_swelling_or_nodules_under_the_skin, tumor_like_lumps, swelling_anywhere_on_body, red_and_sensitive_skin_over_abscess, pus_filled_lumps, ruptured_abscess_with_pus_discharge, pain_when_area_is_touched",medium,no,overhaul_simple
Turtle,Dysecdysis,"patches_of_old_skin_that_havent_shed, skin_stuck_on_body,_tail,_or_toes, constriction_of_limbs_from_retained_shed, dull_or_patchy_appearance, difficulty_shedding",medium,no,overhaul_simple
Turtle,Skin parasites,"visible_small_parasites_on_skin, ticks_embedded_in_skin, excessive_scratching_or_rubbing, restlessness, lethargy, pale_appearance",medium,no,overhaul_simple
Fish,Scale rot / blister disease,"reddening_of_the_skin_or_scales, fluid_filled_blisters_or_pustules, ulcers_or_open_sores_on_skin, areas_of_dead_skin, bleeding_into_scales, pus_filled_bumps, skin_discharge, crusting_of_affected_areas, brown_or_black_discoloration_of_scales, ❌_removed:, ✅_13_retained.",medium,no,overhaul_simple
Fish,Papilloma,"visible_lumps_or_growths_on_body, raised_masses_on_skin, tumor_like_growths",medium,no,overhaul_simple
Fish,Lymphocystis,"white_or_cream_colored_growths, cauliflower_like_appearance, nodular_masses_on_fins,_skin,_or_mouth, wart_like_lesions",medium,no,overhaul_simple
Fish,Fin Rot,"ragged,_frayed,_or_tattered_fins, fin_edges_appear_torn_or_disintegrating, redness_at_base_of_fins, white_edges_on_fins, fins_progressively_shortening, milky_appearance_at_fin_margins",medium,no,overhaul_simple
Fish,Ich,"small_white_spots_on_body,_fins,_and_gills, white_spots_about_0.5_1mm_in_diameter, spots_appear_raised, scratching_or_rubbing_against_objects, increased_mucus_production, lethargy, loss_of_appetite, clamped_fins, rapid_or_labored_breathing, gasping_at_the_surface, scale_damage_or_bruising_from_scratching, pale_gills",medium,no,overhaul_simple
Fish,Fungus,"white,_gray,_or_tan_cotton_like_growths, fluffy_or_fuzzy_patches_on_skin,_fins,_or_mouth, patches_that_look_like_cotton_balls, lethargy, loss_of_appetite",medium,no,overhaul_simple
Fish,Popeye / Exophthalmia,"one_or_both_eyes_protruding_or_bulging, swelling_behind_the_eye, cloudy_eyes, eye_appears_to_stick_out_from_socket, redness_around_eyes, possible_discharge",medium,no,overhaul_simple
Fish,Skin and Gill Flukes,"rubbing_or_scraping_against_objects, flashing, rapid_gill_movements, labored_breathing, gasping_at_surface, excess_mucus_on_skin_or_gills, pale_or_swollen_gills, clamped_fins, lethargy, loss_of_appetite, skin_appears_cloudy_or_hazy",medium,no,overhaul_simple
Fish,Lernaea,"visible_thread_like_parasites_attached_to_body, worm_like_structures_protruding_from_skin, red,_inflamed_areas_where_parasites_attach, open_sores_or_ulcers_at_attachment_sites, scratching_or_rubbing, flashing, lethargy",medium,no,overhaul_simple
Fish,Swim Bladder Disease,"swimming_upside_down, floating_at_the_surface_uncontrollably, sinking_to_the_bottom, swimming_on_side_or_at_an_angle, difficulty_maintaining_position_in_water, struggling_to_swim_normally, loss_of_balance, distended_or_swollen_belly",medium,no,overhaul_simple
Fish,Vitamin C Deficiency,"curved_or_bent_spine, deformed_body_shape, lethargy, loss_of_appetite, darkening_of_skin_color, poor_growth, fin_erosion, hemorrhaging_under_skin",medium,no,overhaul_simple
Fish,Egg Retention,"swollen_or_distended_abdomen, visible_lump_in_belly_area, lethargy, loss_of_appetite, difficulty_swimming, hiding_behavior, straining, disease:_[leptospirosis], species:_[dog], status:_[_]_missing, primary_sources_:, 1._source:petmd",medium,no,overhaul_simple
Dog,Leptospirosis,"lethargy, weight_loss, vomiting, diarrhea, fever, abdominal_pain, edema, bruising, bleeding_from_the_gums, blood_in_the urine stool_or nose, stiffness, jaundice_characterized_by_yellowing_of_the_eyes_gums, excessive_thirst, skin_ulcers, red_eyes, dehydration, sudden_miscarriage",high,yes,overhaul_detailed
Dog,Giarda,"foul, lethargy, loss_of_appetite, abdominal_discomfort, weight_loss",medium,yes,overhaul_detailed
Dog,Tapeworms,"scooting_the_rear_end_along_the_ground, licking, worm_segments_in_stool, weight_loss, vomiting, possible_intestinal_blockage",medium,yes,overhaul_detailed
Dog,Whipworms,"diarrhea, weight_loss, dehydration, anemia, electrolyte_imbalances, visible_small_thread",medium,yes,overhaul_detailed
Dog,Canine Enteric Coronavirus,"diarrhea, vomiting, loss_of_appetite, abdominal_pain, lethargy, dehydration, fever, seizures",medium,yes,overhaul_detailed
Dog,Canine respiratory coronavirus,"coughing, sneezing, labored_breathing, diarrhea, nasal_discharge, gagging, fever, lethargy, loss_of_appetite",medium,yes,overhaul_detailed
Dog,Infectious Canine Hepatitis,"lethargy, increased_thirst, loss_of_appetite, eye_discharge, cloudy_eyes, abdominal_pain, vomiting, small_red, enlarged_tonsils, fever, swelling",high,yes,overhaul_detailed
Dog,Pyoderma,"red_inflamed, circular_crusts, dandruff, hair_loss, small_raised_pustules, skin_lesions, thickened, swelling, lethargy, loss_of_appetite, abdominal_pain",medium,no,overhaul_detailed
Dog,Hot Spots,"skin_lesions, moist, bleeding_from_the_affected_area, abdominal_pain, rapidly_spreading_lesion_due_to_licking_chewing, licking_biting, hair_loss",medium,no,overhaul_detailed
Dog,Urinary Tract Infection,"straining_to_urinate, painful, passing_small_amounts_of_urine, frequent_urination, urinary_accidents_indoors, licking, swelling, drooling, blood_in_the_urine, discharge, strong, increased_thirst, lethargy, fever, loss_of_appetite",medium,no,overhaul_detailed
Bird,Ringworm,bald_patches_or_areas_of_feather_loss.,medium,yes,overhaul_detailed
Dog,Cushing’s Disease,"increased_appetite, increased_thirst_and_water_intake, or_excessive_urination, heavy, weight_loss, lethargy, potbellied, hair_loss, recurrent_skin_infections, lumps",medium,no,overhaul_detailed
Dog,Addison's Disease,"waxing_waning_symptoms, muscle_tremors, shaking, slow_heart_rate, increased_thirst, weakness, sporadic_vomiting, weight_loss",high,no,overhaul_detailed
Dog,Hypothyroidism,"unexplained_weight_gain_despite_normal, lethargy, prefers_warm_places, skin_infections, recurrent_ear_infections, dry_brittle, darkened, hair_not_regrowing_after_shaving, reproductive_issues, weakness, eye_fat_deposits, dry_eye, drooping_facial_expression_due_to_thickened_facial_skin",medium,no,overhaul_detailed
Cat,Chronic Kidney Disease,"increased_thirst, vomiting, dehydration, sores_in_the_mouth, foul_breath, weight_loss, muscle_wasting, decreased_appetite_and_nausea, changes_in_body_temperature, urinary_accidents, edema, constipation, changes_in_behavior, high_blood_pressure",high,no,overhaul_detailed
Dog,Liver Disease,"yellowing_of_eyes_gums, confusion, seizures, depression, head_pressing, sudden_blindness, behavioral_changes, loss_of_appetite, vomiting, diarrhea, weight_loss, excessive_thirst, frequent_urination, pale_gray, distended_abdomen",high,no,overhaul_detailed
Dog,Hip Dysplasia,"limping, bunny_hopping_gait, difficulty_standing_up, abnormal_sitting_posture, difficulty_climbing_stairs",medium,no,overhaul_detailed
Dog,Patellar Luxation,"limping, limp_that_comes_and_goes, bowlegged_stance_in_the_hind_limbs, arched, clicking, stiffness, short_yelp",medium,no,overhaul_detailed
Dog,ACL Tear,"limping, difficulty_standing_up_after_resting, stiff_movement_in_the_affected_leg, swelling, change_in_walking_pattern, trouble_walking_upstairs, loss_of_appetite, sitting_awkwardly_with_legs_extended_outward, growling_snapping",medium,no,overhaul_detailed
Dog,Food Allergies,"itching, recurrent_ear_infections, hair_loss, constant_licking, diarrhea, vomiting, gas, weight_loss, lethargy, bumps",high,no,overhaul_detailed
Dog,Flea Allergy Dermatitis,"hair_loss, itching, scabs, red_and_inflamed_skin, presence_of_visible_fleas, pale_gums",high,yes,overhaul_detailed
